m_H,tanb,Br_B_Xs_H,Br_K_pi_H,Br_eta_pi_H,Br_eta_prime_pi_H,Br_pi_semilep,Br_K_semilep,Br_Upsilon_gamma_H,Br_B_Xs_HH,Br_K_pi_HH
1.0000000000e-02,1.0000000000e+04,4.1594260266e-07,1.1808235103e-13,2.8025948005e-29,3.0150215759e-32,1.8867157570e-17,3.8988430675e-16,2.3313955563e-29,4.2152840066e-05,5.4407809369e-06
1.1090909091e-01,1.0000000000e+01,4.1574443298e-01,1.1019913850e-07,1.9338868934e-11,2.1584963109e-14,6.5958570515e-14,2.6932951947e-10,2.3428063783e-11,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,1.0722672220e+01,3.6155034239e-01,9.5839543797e-08,1.2715342214e-11,1.4192153303e-14,5.7367400919e-14,2.3424908093e-10,1.5403995417e-11,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,1.1497569954e+01,3.1442549024e-01,8.3351755508e-08,8.3610797162e-12,9.3321692102e-15,4.9895239732e-14,2.0373790450e-10,1.0129026137e-11,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,1.2328467394e+01,2.7344658773e-01,7.2491620778e-08,5.4983082680e-12,6.1369039488e-15,4.3396334993e-14,1.7720083924e-10,6.6609229962e-12,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,1.3219411485e+01,2.3781121045e-01,6.3046870600e-08,3.6159627934e-12,4.0359352848e-15,3.7743919077e-14,1.5412025319e-10,4.3805564458e-12,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,1.4174741629e+01,2.0682191074e-01,5.4832947498e-08,2.3781720442e-12,2.6543825296e-15,3.2827735972e-14,1.3404593649e-10,2.8810354179e-12,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,1.5199110830e+01,1.7987243388e-01,4.7689381139e-08,1.5641695469e-12,1.7458385018e-15,2.8551890620e-14,1.1658631957e-10,1.8949124707e-12,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,1.6297508346e+01,1.5643575596e-01,4.1476639491e-08,1.0288281497e-12,1.1483203973e-15,2.4832978390e-14,1.0140083517e-10,1.2463733839e-12,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,1.7475284000e+01,1.3605370004e-01,3.6073392813e-08,6.7673383177e-13,7.5533242627e-16,2.1598458186e-14,8.8193275250e-11,8.1982888603e-13,4.0968818364e-05,1.3974587897e-06
